Country Name,Country Code,Series Name,Series Code,1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Germany,DEU,Adequacy of social insurance programs (% of total welfare of beneficiary households),per_si_allsi.adq_pop_tot,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Germany,DEU,Adequacy of social protection and labor programs (% of total welfare of beneficiary households),per_allsp.adq_pop_tot,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Germany,DEU,Adequacy of social safety net programs (% of total welfare of beneficiary households),per_sa_allsa.adq_pop_tot,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Germany,DEU,Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households),per_lm_alllm.adq_pop_tot,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Germany,DEU,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,..,..,86.86843,86.46473,82.93565,84.71067,84.99832,86.23536,87.06885,88.43977,88.84199,88.43606,88.17263,89.06942,88.75173,88.52846,88.18981,88.13653,89.44014,90.62417,90.35417,..,..
Germany,DEU,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,..,..,..,..,87.53235,87.11377,..,85.37444,85.71943,86.98664,87.84302,89.14933,89.54017,89.04671,88.82046,89.64072,89.28999,89.21926,88.92548,88.93744,90.32462,91.54246,..,..,..
Germany,DEU,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,..,..,..,..,86.23573,85.84641,..,84.07851,84.31152,85.5198,86.33139,87.76365,88.1768,87.85435,87.55561,88.5254,88.23933,87.87234,87.49238,87.37846,88.60416,89.75716,..,..,..
Germany,DEU,Adolescents out of school (% of lower secondary school age),SE.SEC.UNER.LO.ZS,..,..,..,..,..,..,..,0.34916,0.23088,0.084,0.72279,1.72993,2.90346,2.46548,2.19491,2.59137,3.35749,2.13488,3.13701,4.26125,4.6814,4.64572,4.71585,..,..
Germany,DEU,"Adolescents out of school, female (% of female lower secondary school age)",SE.SEC.UNER.LO.FE.ZS,..,..,..,..,..,..,..,0.56209,0.38724,0.15801,0.85202,1.83604,3.03116,2.56038,2.26326,2.57183,3.41428,1.95131,2.87729,3.87577,4.18165,4.0682,4.15464,..,..
Germany,DEU,"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,..,..,..,..,..,..,..,0.14591,0.08171,0.01343,0.59957,1.62873,2.78165,2.37497,2.12974,2.61,3.30338,2.30922,3.38296,4.62535,5.15226,5.18861,5.24095,..,..
Germany,DEU,Adults (ages 15+) and children (ages 0-14) newly infected with HIV,SH.HIV.INCD.TL,2000,2000,2000,1900,1700,1800,2400,2800,3100,3700,3900,4000,3900,3300,3100,2900,2800,2900,3000,3000,2900,2900,2700,2600,..
Germany,DEU,Adults (ages 15+) newly infected with HIV,SH.HIV.INCD,2000,2000,2000,1900,1700,1800,2300,2800,3100,3700,3900,4000,3900,3300,3100,2900,2800,2900,3000,3000,2900,2900,2600,2600,..
Germany,DEU,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,5835.8999023438,6036.2998046875,6183.8999023438,6233.7998046875,6610.7001953125,7127.713,7026.248,7195.804,7295.67,8065.6,7722.133,8133.987,8528.959,8352.882,10187.719,7487.48100076523,7716.76190298526,7236.98063027006,7335.69940204315,7184.14620802563,6986.405444999,6942.706331998,7901.65234423,7969.86364,..
Germany,DEU,"Air transport, passengers carried",IS.AIR.PSGR,34680100,40118400,45804500,49279800,54652800,57962865,56389365,61889678,72693124,82099657,90788848,99647314,106101747,107941584,103396735,97330734.2807591,107042775.791182,105978474.526384,109062321.51578,112353098.59355,117222850,116713587,114160685,109796202.17431,..
Germany,DEU,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,526600,566600,645900,673300,709800,738297,762178,796129,844881,937143,1023858,1084821,1126699,1154472,1080553,971803.431596833,1021899.93850367,985668.769188173,954874,946082,967453,962803,955827,922648.643490196,..
Germany,DEU,Antiretroviral therapy coverage (% of people living with HIV),SH.HIV.ARTC.ZS,..,..,..,..,..,68,68,66,64,62,59,57,59,61,63,65,69,70,72,74,76,78,81,80,..
Germany,DEU,Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),SH.HIV.PMTC.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Germany,DEU,Benefit incidence of social insurance programs to poorest quintile (% of total social insurance benefits),per_si_allsi.ben_q1_tot,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Germany,DEU,Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),per_allsp.ben_q1_tot,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
