Series Code,1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
EG.CFT.ACCS.ZS,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0
EG.ELC.ACCS.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0
EG.ELC.ACCS.RU.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0
EG.ELC.ACCS.UR.ZS,100,100,100,99.9996032714844,99.9938659667969,99.9709625244141,99.9254608154297,99.8642807006836,99.811767578125,99.7770462036133,99.7654571533203,99.7746963500977,99.8005142211914,99.8386764526367,99.8849487304688,99.9330368041992,99.9709091186523,99.9921569824219,99.9990539550781,100,100,100,100,100,0
FX.OWN.TOTL.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.1336212158203,0,0,98.7604064941406,0,0,99.1411895751953,0,0
FX.OWN.TOTL.FE.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.7045364379883,0,0,99.4418029785156,0,0,99.1992492675781,0,0
FX.OWN.TOTL.MA.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.5362243652344,0,0,98.0492477416992,0,0,99.0789260864258,0,0
FX.OWN.TOTL.OL.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.4644927978516,0,0,99.4970321655273,0,0,99.5148620605469,0,0
FX.OWN.TOTL.40.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.1317520141602,0,0,96.9911041259766,0,0,98.1222686767578,0,0
FX.OWN.TOTL.PL.ZS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.1540451049805,0,0,97.6434860229492,0,0,100,0,0
